title,review,summary,vader_sentiment,vader_score,topic
"propaganda music,for research interest only.","Music on this album are purely communist propanganda music from Red China. It's important if you are into this research topic.But as a whole,this album is lack of creativity .","Music on this album are purely communist propanganda music from Red China. It's important if you are into this research topic.But as a whole,this album is lack of creativity .",positive,0.4767,8
Recycled Common Sense,"Although Willingham is a good story teller, it's clear that he hasn't been in the business of PROVIDING customer service since the 70's. Back then the customer was always right and businesses had time to make the customer happy. Today customers are more demanding and unreasonable. Time truly is money and it's getting harder and harder to go the exra mile when it means letting something else slide. Yet no one can afford to lose customers. The principles in the book are good: giving the customer your full attention, listening to them, making eye contact, inviting them back and so on. But there's nothing new here, and it needs to be updated for 2003. Come on Ron, get with the times and give us something we can use. Points for the quaint stories, though!","Back then the customer was always right and businesses had time to make the customer happy. Time truly is money and it's getting harder and harder to go the exra mile when it means letting something else slide. The principles in the book are good: giving the customer your full attention, listening to them, making eye contact, inviting them back and so on.",positive,0.7647,9
Amazing,"This book is a must read for women of all ages!! Full of valuable lessons, the best book I've read in a while!","This book is a must read for women of all ages!! Full of valuable lessons, the best book I've read in a while!",positive,0.9182,2
Poor Choice,"I read every review and test I could find while deciding between this lens and the 70-200 f4 L. In the end, I opted for stabilization and reach - big mistake. Sharpness and color are poor on this lens and it can be very frustrating when you review your photos at the end of a trek and toss, literally, all of them. I sold this lens at significant loss and bought a used 70-200 f2.8 L (non IS). The difference was stunning. There is a reason the f4 is best in its class, don't make my mistake. You can easily crop your super sharp photos to match the reach of the 70-300. I've since bought a used 400mm f5.6 L - even at f5.6 the L glass is so superior to other products that it is easily hand-holdable (this lens is non IS) in all but the lowest light. Additionally, the L lenses are built like tanks! The f4 L will not dissapoint, buy it.","I read every review and test I could find while deciding between this lens and the 70-200 f4 L. In the end, I opted for stabilization and reach - big mistake. Sharpness and color are poor on this lens and it can be very frustrating when you review your photos at the end of a trek and toss, literally, all of them. I've since bought a used 400mm f5.6 L - even at f5.6 the L glass is so superior to other products that it is easily hand-holdable (this lens is non IS) in all but the lowest light.",positive,0.9716,4
DVD first disk damaged,The first disk in season 8 was damaged. I followed instructions to return the dvd set and asked that it be replaced. I did not get a response from the seller. If he didn't have a replacement thne he should have refunded my money so I could buy another set.,I followed instructions to return the dvd set and asked that it be replaced. I did not get a response from the seller. If he didn't have a replacement thne he should have refunded my money so I could buy another set.,negative,-0.7003,7
WHERE'S THE BLUE ANGELS?,Why is there no dvd out there with the Dreams video (featuring the Blue Angels)? Come on people! It's one of the best videos ever done. Somebody wake up and make that video available!,Why is there no dvd out there with the Dreams video (featuring the Blue Angels)? Come on people! It's one of the best videos ever done. Somebody wake up and make that video available!,positive,0.768,7
Meh,"Banal, I know there must be people who will think that watching people masturbate, shoot coke up their nose, commit suicide and use the toilet on camera is worty of 5 stars. If you do then this is for you.The chatacters try to be so damn tough and real that they end up being unbelievable. Rent it if you must, but procede with caution.","Banal, I know there must be people who will think that watching people masturbate, shoot coke up their nose, commit suicide and use the toilet on camera is worty of 5 stars. If you do then this is for you.The chatacters try to be so damn tough and real that they end up being unbelievable. Rent it if you must, but procede with caution.",negative,-0.641,4
Jackson's amazing ignorance,"Through all the hype for this movie, you constantly hear about Peter Jackson's encyclopedic knowledge and love of the original 1933 classic film. That's why it's amazing to see how much he didn't learn from the original Kong. In 1933, the producers and screenwriters worked very hard to eliminate anything from the script that proved superfluous or impeded the flow of the action. (That's the primary reason why the legendary ""spider sequence"" was removed from the original King Kong.) The tight pace of the action is what makes the original Kong so great. This new film is loaded with unnecessary bloat -- and lots of overdone effects just to please the people who like that sort of thing. In short, this film is a big disappointment and I was expecting much better.","In 1933, the producers and screenwriters worked very hard to eliminate anything from the script that proved superfluous or impeded the flow of the action. (That's the primary reason why the legendary ""spider sequence"" was removed from the original King Kong.) The tight pace of the action is what makes the original Kong so great.",positive,0.9766,7
ludicrous,"Boettner is good at explaining modern Calvinist perspectives on double predestination, but his presentation of Catholicism, past and present, has no basis in history or reality.The best sources on Catholic doctrine are Catholic sources like the Catechism of the Catholic Church, the Second Vatican Council, the Council of Trent, the Lutheran-Catholic Joint Declaration on Justification, and so forth.","Boettner is good at explaining modern Calvinist perspectives on double predestination, but his presentation of Catholicism, past and present, has no basis in history or reality.The best sources on Catholic doctrine are Catholic sources like the Catechism of the Catholic Church, the Second Vatican Council, the Council of Trent, the Lutheran-Catholic Joint Declaration on Justification, and so forth.",positive,0.8151,9
Would have expected better!,"I bought these for two reasons- blocks and educational letters. However, the letters are rubbing off. For the price I paid that was dissapointing. Other than that I love the concept and the objects inside are fun.","I bought these for two reasons- blocks and educational letters. However, the letters are rubbing off. For the price I paid that was dissapointing. Other than that I love the concept and the objects inside are fun.",positive,0.8687,4
